classification,gyroscope_z_avg,accelerometer_y_avg,accelerometer_x_avg,magnetic_field_z_avg,magnetic_field_y_avg,accelerometer_z_avg,magnetic_field_x_avg,audio_avg,gyroscope_y_avg,gyroscope_x_avg,gyroscope_z_rms,accelerometer_y_rms,accelerometer_x_rms,magnetic_field_z_rms,magnetic_field_y_rms,accelerometer_z_rms,magnetic_field_x_rms,audio_rms,gyroscope_y_rms,gyroscope_x_rms,gyroscope_z_sdv,accelerometer_y_sdv,accelerometer_x_sdv,magnetic_field_z_sdv,magnetic_field_y_sdv,accelerometer_z_sdv,magnetic_field_x_sdv,audio_sdv,gyroscope_y_sdv,gyroscope_x_sdv
quiet,0.004239112431845493,6.544038160375746,-0.9711145878394554,-36.64926245387434,-1.1088561084501796,7.0914005311699455,-7.220664281734345,-11.48039981617647,0.00149319905527897,-0.007925018914077245,0.015921740415686877,6.5442351655227915,0.9797766326180372,36.65631057198527,1.6960011604211538,7.09367267260202,7.287956832623747,98.10414713788664,0.026753840425627586,0.022813038766110866,0.015351903336961834,0.07324481365791904,0.1295231271067613,0.48428193918113416,1.2922259110353864,0.1717394743368073,0.9851560639318923,97.43008301971895,0.02693581081168163,0.02148994973277784
quiet,-0.004736893867422343,5.087042820840343,-0.6178036321647062,-34.18330356442819,2.3170599239564416,8.258177084958,-13.377314147005494,-11.731916360294118,-0.002110851533333334,-0.001533945015197312,0.01751273398150728,5.087639684697332,0.6267358887984541,34.18573475907443,2.443031528368504,8.261460162468223,13.3971062045194,87.09023868214643,0.0213439381330794,0.0346699270439799,0.016859943297526745,0.07792881523502895,0.1054350339881614,0.4076989574789841,0.7743619033743243,0.23288462706776913,0.7279566384755204,86.29641830474957,0.021239303209685322,0.03463597629525179
quiet,0.0012189862195780615,6.280879278823534,-1.258074548722692,-36.77967957932247,0.8955436790017867,7.3169861953781385,-8.11800365418894,-11.635365316901408,-0.003314455714936704,-9.169365103797436E-4,0.02714307897590726,6.281442384651329,1.2735103353547867,36.782600657629935,0.9468213154443026,7.341325831660934,8.12555670224451,83.51365893069803,0.05841049345737776,0.06293155623636962,0.02711569303722143,0.08410657845528988,0.19767904317773358,0.46355278128722754,0.30736317668131913,0.5973089512620011,0.35026902798468806,82.69915055147442,0.058316379596542955,0.06292487582639543
quiet,0.0019153405767155039,4.707744940353579,-0.7357661546425817,-37.323475582254915,3.102772669833645,8.498960541429675,-15.137708136783768,-11.472388059701492,-0.005323858296453356,-0.0027555607110254354,0.019306133574971716,4.708533647752889,0.7478613105124915,37.32743268144486,3.278665727179328,8.504921507780168,15.17242202982167,82.44888568076588,0.030294313469682404,0.05080276378908407,0.01921088920612053,0.08617823737133451,0.13395784950471104,0.5435080943371711,1.0594577433356316,0.3183701756181711,1.0257595315513077,81.64681905749816,0.02982284294695363,0.05072797742643917
quiet,0.006266576711902771,5.919580478643186,-0.8135964584170865,-39.45974298161757,2.1841911952205892,7.686689833165838,-9.696139876838245,-11.446507352941177,-0.002050165297150035,-0.009095376183151723,0.0269043970431167,5.9207720206696095,0.8424254615914828,39.462859129763864,2.3013982500335186,7.697808525839726,9.714249296761569,83.93721529889083,0.03466101671965104,0.05103607231692351,0.026164414699501745,0.11877827078316365,0.2184981949325874,0.49591785636912644,0.7250811871633512,0.4135885747888942,0.59288353697833,83.1530731936678,0.034600330956427165,0.05021906818754402
sample,-0.007045722568504474,5.352253469452428,-0.8342678543354567,-27.90850363605441,-2.743707512653064,6.437224218750862,-16.06122466666665,-12.260851883561644,0.03122524477174363,0.013726562986905548,0.36380728786281724,5.627690837624987,3.6357502784981306,27.95293261235057,4.068739759459201,20.3460190563337,16.2468020600853,5040.547676964705,1.9311421057474463,2.050213553138193,0.3637390554993874,1.7390477171781862,3.538739498016448,1.5753940544986196,3.0044487539672327,19.300845468481953,2.448599474485411,5040.532765022487,1.930889643837686,2.0501676016706782
sample,0.01270603886943599,6.096523290266167,-0.5879458433244861,-32.21104995764272,-2.5744014938858184,7.341097598180223,-15.041804992633537,-11.923217592592593,-0.010880799508003025,0.017812326695884166,0.1476850018190447,6.132436529565829,0.9664718202003382,32.24110504909445,3.76580771967374,9.140567580898423,15.135243791263978,3440.0931806629187,0.5169900238683887,0.8180721115113404,0.14713740631987376,0.6627077488573594,0.7670641854231073,1.391802936117484,2.7484113101631613,5.445939933102807,1.6791983755887963,3440.0725179167534,0.5168755101390508,0.8178781698091117
sample,0.00624400021550073,5.70045543228397,-1.1742391551158247,-28.221621793918967,-6.804054147702711,5.555216703317218,-13.307094792060823,-11.865093537414966,0.0372250727159808,0.030609913207750365,0.645387230979343,6.014168977153714,6.048420303384213,28.284120320647038,7.739980561208924,20.78597261709899,13.522515205608475,4864.009130877028,1.9582885086170083,2.0842248238788086,0.6453570255079686,1.917038432140173,5.933342276742771,1.8792353854263986,3.6894642216752294,20.029883300158623,2.404089366271645,4863.994659208693,1.9579346712652899,2.0840000359131636
sample,-0.014814880563443388,6.8187784461960765,-0.7075598386472944,-30.909710643952305,-10.879046173083477,5.2115311389082315,-12.437308536626938,-8.614897260273972,0.007440939841116391,0.015709302203930756,0.1638818395260479,6.864620160068694,1.3484765221850536,30.948064681464484,11.207909901882797,19.33664916669463,12.50211517346414,5157.095624722722,0.6864340890335351,1.9120786378307089,0.16321083493546673,0.7920040679904435,1.147932056185257,1.5402906982940892,2.695106441801558,18.621115546175567,1.2713143495255617,5157.088429150678,0.6863937579855903,1.9120141043080212
sample,0.007775550302809897,6.416266463635402,-0.784062635016956,-29.38235315051902,-6.582526068131483,5.741152787842237,-12.52525970276818,-12.08426724137931,0.03535181397107439,0.009029216172396725,0.6191607412379942,6.845496902746141,5.600395837058584,29.43535545651792,7.284107358658086,19.6716544589765,12.677557123087059,4977.0071351008555,1.5715699884452445,1.8804881067719914,0.6191119158180292,2.3858651498219214,5.545239338037034,1.7656370492662625,3.119065657344561,18.815237277802865,1.9591641042411563,4976.992464664769,1.5711723259498749,1.8804664296302191
test,0.011298520187756641,7.249383412180883,0.47429991327986853,-27.89561423157894,-2.9350877496491297,6.209825756857755,-12.582105463508798,-11.8090625,-0.01905527460703811,-0.0017462841391495875,0.3529131666618837,7.272835382223124,1.9655039810401067,27.90897661842993,3.238734897602362,6.839485127064197,12.843619678915738,1756.2892157289227,1.8319250460611338,0.6059764688663462,0.352732259149749,0.583587731290813,1.9074185413136857,0.8635291141591395,1.369183566512183,2.866464873812023,2.5786020557221487,1756.2495139724601,1.831825939027979,0.6059739526674647
test,-0.014767306663450283,5.734036356219954,-0.39092710071565945,-34.56421087368418,-2.4492982923859627,7.2888096502148585,-14.142105474736864,-12.088439685314686,0.007255947096271961,-0.027145557861768997,0.15395712317706417,5.810633346234253,1.227140890434708,34.663337061603244,4.663736635270578,10.670717718396265,14.283186246026023,3011.2623845819344,0.8042468685205736,1.391311657014864,0.1532472591300259,0.9403653279004178,1.1632071040459377,2.619592129665727,3.9688004835315325,7.793424825365967,2.0025638766554037,3011.2381205118963,0.8042141361334588,1.391046816478088
test,0.02565881780902775,6.559233631746035,0.25928510439944824,-26.754484082910356,0.17631133736040597,6.730349654531395,-13.85313049746192,-12.708868243243243,0.014752431628263873,0.01513489026291662,0.2967598245980797,6.593995185775972,2.1214912788111815,26.82058251233267,2.533190866063048,8.907798802129395,14.603718761742897,2978.760300201368,2.2496296127971793,0.9177052320653915,0.29564847126972615,0.6761853844978806,2.105586968213014,1.8818150169834538,2.5270477392054587,5.835346864323242,4.621620613201781,2978.733188911606,2.2495812411502363,0.9175804204847259
test,0.003177061299770629,6.6606682210045545,0.3775158650904101,-29.836140575438566,-1.048070179543859,6.713009031704725,-13.475087891052636,-12.547582116788321,-0.007597747762308843,0.02436181790359329,0.26180543904822234,6.691175529429578,1.9784922221550134,29.921017303555196,3.050613992569882,7.762656345031158,14.482765490940572,3013.3533931694624,2.672509024022465,0.6070911710207576,0.2617861612017144,0.6382231704796147,1.9421414069868652,2.2521083549234424,2.8649248908852836,3.8979922102671374,5.307777556942816,3013.3272690349813,2.6724982240799435,0.6066021692672947
test,0.020248094677861993,6.117196362227804,0.5765514453065329,-27.61710776719578,3.023456822821868,7.144499378249147,-12.424162405114654,-12.589352678571428,0.013852920997727303,0.008534668363215541,0.22734154803196077,6.141882907220298,1.5750202898824295,27.6490010443782,4.135476962497061,9.19649753226266,13.14329062492542,2336.520644068066,1.3597805468518425,1.0787031155507267,0.22643805802798414,0.5501220882238251,1.465700291484004,1.327635991950968,2.8215028881565605,5.790655877800938,4.287922222077776,2336.4867276223495,1.359709980906416,1.078669351995678
